"date","hydr_year","gauge","rain","snow","temp"
1979-10-01,1,0.304230497651181,1.36224467,0,12.6581313451131
1979-10-02,1,0.28665762432551,0.047807657,0,12.2984582265218
1979-10-03,1,0.266155931505106,0.092385567,0,12.9236935297648
1979-10-04,1,0.248949155160936,0.034734455,0,12.9652364730835
1979-10-05,1,0.238332211769233,0.000127301,0,12.8605381647746
1979-10-06,1,0.231376281835265,0.004703795,0,13.0890151341756
1979-10-07,1,0.225884739827302,0.004272242,0,11.8186222076416
1979-10-08,1,0.221125413603702,0.034226576,0,12.4320660909017
1979-10-09,1,0.218562712911832,0.047835128,0,13.5227196375529
1979-10-10,1,0.214169483669734,0.009979233,0,14.1227081298828
1979-10-11,1,0.209410179267495,0.000324152,0,12.3288508733114
1979-10-12,1,0.207213553735765,0.151284068,0,11.3795187632243
1979-10-13,1,0.207213553735765,0.074099045,0,10.9963176727295
1979-10-14,1,0.211606782977864,1.985275261,0,10.1642041524251
1979-10-15,1,0.207213553735765,0.694825131,0,9.90858414967855
1979-10-16,1,0.218562712911832,3.880591297,0,10.9727641423543
1979-10-17,1,0.238332211769233,5.659188811,0,7.8580025990804
1979-10-18,1,0.273111861439074,10.76403554,0,8.04051726659139
1979-10-19,1,0.523525404526015,6.818887917,0,7.15049473444621
1979-10-20,1,0.552813555830616,0.648036692,0,7.36279169718425
1979-10-21,1,0.596745760966155,1.82956266,0,5.84131428400675
1979-10-22,1,1.78291521234027,19.99735126,0,7.84823401769002
1979-10-23,1,1.75728820542158,2.062991381,0,9.02498607635498
1979-10-24,1,1.42779664508367,32.5051651,0,8.36691745122274
1979-10-25,1,11.7152542372881,27.4059082,0,9.86922817230225
1979-10-26,1,16.4379666603218,16.88547516,0,9.56996529897054
1979-10-27,1,11.129491385767,14.13094991,0,7.98049465815226
1979-10-28,1,5.96745734780522,2.661640875,0,6.3289880434672
1979-10-29,1,3.84406779661017,0.683074381,0,5.19988814989726
1979-10-30,1,2.58467794515319,1.687571121,0,6.9530730565389
1979-10-31,1,2.22223735098111,0.02914482,0,6.03681939442952
1979-11-01,1,2.02454244969255,0.722285616,0,4.59958998362223
1979-11-02,1,1.12393217894991,2.086823066,0,5.05491658846537
1979-11-03,1,1.21545760267872,1.746400547,0,6.985582447052
1979-11-04,1,1.18616949501684,2.548753738,0,7.1491304397583
1979-11-05,1,1.21545760267872,1.700481474,0,8.13326956431071
1979-11-06,1,1.1129491385767,0.104206746,0,7.49576126734416
1979-11-07,1,1.1715254411859,5.01e-05,0,6.67598466873169
1979-11-08,1,1.01776270139015,1.18e-05,0,4.44433616002401
1979-11-09,1,0.933559304576809,0.015981763,0,3.35988766352336
1979-11-10,1,0.8530169212212,0.00186273,0,4.43008662859599
1979-11-11,1,0.834711853932526,0.085749251,0,2.97137916882833
1979-11-12,1,0.812745773186118,0.032539103,0,2.68346993923187
1979-11-13,1,0.779796652066506,0.000128305,0,2.55669185320536
1979-11-14,1,0.805423746270648,0.123818234,0,4.13262937863668
1979-11-15,1,0.798101719355179,5.156229941,0,3.51081951459249
1979-11-16,1,0.77247453786559,7.618927193,0,5.70396273930868
1979-11-17,1,0.8530169212212,5.949357192,0,5.61413021087647
1979-11-18,1,1.05071182250977,1.468978651,0,3.38575247128805
1979-11-19,1,0.99945763410148,0.997814411,0,2.85921949545542
1979-11-20,1,0.977491553355071,0.053379806,0,2.87190975348155
1979-11-21,1,1.03240675522109,8.088239161,0,3.23231188456217
1979-11-22,1,1.09830508474576,10.52086611,0,4.59152709643046
1979-11-23,1,1.31796606678074,3.6998914,0,3.81367268562317
1979-11-24,1,1.43511867199914,1.775234429,0,1.93155490259329
1979-11-25,1,1.77925428616799,1.032235559,0,0.83094210922718
1979-11-26,1,1.89274579064321,0.365016978,0,0.211564107735952
1979-11-27,1,1.81220332000215,0.003997793,0,0.0864101668198903
1979-11-28,1,1.42779664508367,0.05078521,0,1.74021162192027
1979-11-29,1,1.33261020789712,5.296161683,0,1.25837455193202
1979-11-30,1,1.23376266996739,3.670838269,0,3.38633231321971
1979-12-01,1,1.26305086491472,24.35599022,0,2.72805287043254
1979-12-02,1,1.72799992318881,8.255019697,0,2.20383666356405
1979-12-03,1,2.59566107281184,41.28517151,0,4.61354978879293
1979-12-04,1,36.0610169491525,10.36182172,0,5.81657444636027
1979-12-05,1,10.0311863010213,3.216631341,0,5.41838143666585
1979-12-06,1,6.91932189424159,1.032285436,0,6.58425270716349
1979-12-07,1,5.05220345965886,1.084527938,0,5.01581007639567
1979-12-08,1,3.77084752745548,2.00094854,0,6.12885433832804
1979-12-09,1,2.77505081952628,7.267219957,0,6.00074195861816
1979-12-10,1,2.73477958420576,1.565400461,0,0.972184112668037
1979-12-11,1,2.50047454833984,10.53253066,0,0.756737711032232
1979-12-12,1,2.44922035993156,26.46292877,0,1.44052926898003
1979-12-13,1,29.9837293721862,80.30794423,0,4.13924423853556
1979-12-14,1,77.6135593220339,45.27337532,0,5.67016264597575
1979-12-15,1,31.1186440677966,0,5.044310284,-0.125410224000613
1979-12-16,1,12.0081353139069,58.09872945,0,1.34617492159208
1979-12-17,1,66.6305084745763,57.3376531,0,5.59134670893351
1979-12-18,1,38.0745762711864,24.58548342,0,7.53896649678548
1979-12-19,1,21.0508474576271,11.77967421,0,7.06873083114624
1979-12-20,1,17.0237288135593,16.32352839,0,5.59231735865275
1979-12-21,1,13.1430514060845,5.900409158,0,4.40696892738342
